symbol,index,date
AXP,DIA,5/1/2006
BA,DIA,5/1/2006
C,DIA,5/1/2006
CAT,DIA,5/1/2006
DD,DIA,5/1/2006
DIS,DIA,5/1/2006
GE,DIA,5/1/2006
HD,DIA,5/1/2006
HON,DIA,5/1/2006
HPQ,DIA,5/1/2006
IBM,DIA,5/1/2006
INTC,DIA,5/1/2006
JNJ,DIA,5/1/2006
JPM,DIA,5/1/2006
KO,DIA,5/1/2006
MCD,DIA,5/1/2006
MMM,DIA,5/1/2006
MO,DIA,5/1/2006
MRK,DIA,5/1/2006
MSFT,DIA,5/1/2006
MTLQQ,DIA,5/1/2006
PFE,DIA,5/1/2006
PG,DIA,5/1/2006
T,DIA,5/1/2006
UTX,DIA,5/1/2006
VZ,DIA,5/1/2006
WMT,DIA,5/1/2006
XOM,DIA,5/1/2006
AA,DIA,6/1/2006
AIG,DIA,6/1/2006
AXP,DIA,6/1/2006
BA,DIA,6/1/2006
C,DIA,6/1/2006
CAT,DIA,6/1/2006
DD,DIA,6/1/2006
DIS,DIA,6/1/2006
GE,DIA,6/1/2006
HD,DIA,6/1/2006
HON,DIA,6/1/2006
HPQ,DIA,6/1/2006
IBM,DIA,6/1/2006
INTC,DIA,6/1/2006
JNJ,DIA,6/1/2006
JPM,DIA,6/1/2006
KO,DIA,6/1/2006
MCD,DIA,6/1/2006
MMM,DIA,6/1/2006
MO,DIA,6/1/2006
MRK,DIA,6/1/2006
MSFT,DIA,6/1/2006
MTLQQ,DIA,6/1/2006
PFE,DIA,6/1/2006
PG,DIA,6/1/2006
T,DIA,6/1/2006
UTX,DIA,6/1/2006
VZ,DIA,6/1/2006
WMT,DIA,6/1/2006
XOM,DIA,6/1/2006
AA,DIA,7/3/2006
AIG,DIA,7/3/2006
AXP,DIA,7/3/2006
BA,DIA,7/3/2006
C,DIA,7/3/2006
CAT,DIA,7/3/2006
DD,DIA,7/3/2006
DIS,DIA,7/3/2006
GE,DIA,7/3/2006
HD,DIA,7/3/2006
HON,DIA,7/3/2006
HPQ,DIA,7/3/2006
IBM,DIA,7/3/2006
INTC,DIA,7/3/2006
JNJ,DIA,7/3/2006
JPM,DIA,7/3/2006
KO,DIA,7/3/2006
MCD,DIA,7/3/2006
MMM,DIA,7/3/2006
MO,DIA,7/3/2006
MRK,DIA,7/3/2006
MSFT,DIA,7/3/2006
MTLQQ,DIA,7/3/2006
PFE,DIA,7/3/2006
PG,DIA,7/3/2006
T,DIA,7/3/2006
UTX,DIA,7/3/2006
VZ,DIA,7/3/2006
WMT,DIA,7/3/2006
XOM,DIA,7/3/2006
AA,DIA,8/1/2006
AIG,DIA,8/1/2006
AXP,DIA,8/1/2006
BA,DIA,8/1/2006
C,DIA,8/1/2006
CAT,DIA,8/1/2006
DD,DIA,8/1/2006
DIS,DIA,8/1/2006
GE,DIA,8/1/2006
HD,DIA,8/1/2006
HON,DIA,8/1/2006
HPQ,DIA,8/1/2006
IBM,DIA,8/1/2006
INTC,DIA,8/1/2006
JNJ,DIA,8/1/2006
JPM,DIA,8/1/2006
KO,DIA,8/1/2006
MCD,DIA,8/1/2006
MMM,DIA,8/1/2006
MO,DIA,8/1/2006
MRK,DIA,8/1/2006
MSFT,DIA,8/1/2006
MTLQQ,DIA,8/1/2006
PFE,DIA,8/1/2006
PG,DIA,8/1/2006
T,DIA,8/1/2006
UTX,DIA,8/1/2006
VZ,DIA,8/1/2006
WMT,DIA,8/1/2006
XOM,DIA,8/1/2006
AA,DIA,9/1/2006
AIG,DIA,9/1/2006
AXP,DIA,9/1/2006
BA,DIA,9/1/2006
C,DIA,9/1/2006
CAT,DIA,9/1/2006
DD,DIA,9/1/2006
DIS,DIA,9/1/2006
GE,DIA,9/1/2006
HD,DIA,9/1/2006
HON,DIA,9/1/2006
HPQ,DIA,9/1/2006
IBM,DIA,9/1/2006
INTC,DIA,9/1/2006
JNJ,DIA,9/1/2006
JPM,DIA,9/1/2006
KO,DIA,9/1/2006
MCD,DIA,9/1/2006
MMM,DIA,9/1/2006
MO,DIA,9/1/2006
MRK,DIA,9/1/2006
MSFT,DIA,9/1/2006
MTLQQ,DIA,9/1/2006
PFE,DIA,9/1/2006
PG,DIA,9/1/2006
T,DIA,9/1/2006
UTX,DIA,9/1/2006
VZ,DIA,9/1/2006
WMT,DIA,9/1/2006
XOM,DIA,9/1/2006
AA,DIA,10/2/2006
AIG,DIA,10/2/2006
AXP,DIA,10/2/2006
BA,DIA,10/2/2006
C,DIA,10/2/2006
CAT,DIA,10/2/2006
DD,DIA,10/2/2006
DIS,DIA,10/2/2006
GE,DIA,10/2/2006
HD,DIA,10/2/2006
HON,DIA,10/2/2006
HPQ,DIA,10/2/2006
IBM,DIA,10/2/2006
INTC,DIA,10/2/2006
JNJ,DIA,10/2/2006
JPM,DIA,10/2/2006
KO,DIA,10/2/2006
MCD,DIA,10/2/2006
MMM,DIA,10/2/2006
MO,DIA,10/2/2006
MRK,DIA,10/2/2006
MSFT,DIA,10/2/2006
MTLQQ,DIA,10/2/2006
PFE,DIA,10/2/2006
PG,DIA,10/2/2006
T,DIA,10/2/2006
UTX,DIA,10/2/2006
VZ,DIA,10/2/2006
WMT,DIA,10/2/2006
XOM,DIA,10/2/2006
AA,DIA,11/1/2006
AIG,DIA,11/1/2006
AXP,DIA,11/1/2006
BA,DIA,11/1/2006
C,DIA,11/1/2006
CAT,DIA,11/1/2006
DD,DIA,11/1/2006
DIS,DIA,11/1/2006
GE,DIA,11/1/2006
HD,DIA,11/1/2006
HON,DIA,11/1/2006
HPQ,DIA,11/1/2006
IBM,DIA,11/1/2006
INTC,DIA,11/1/2006
JNJ,DIA,11/1/2006
JPM,DIA,11/1/2006
KO,DIA,11/1/2006
MCD,DIA,11/1/2006
MMM,DIA,11/1/2006
MO,DIA,11/1/2006
