AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
84.589996,133.0,84.400002,21.27,123.739998,61.58,69.739998,26.73,169.479996,79.75,178.940002,23.75,95.629997,57.650002,40.369999,98.91999799999999,131.229996,49.66,37.639998999999996,79.129997,32.139998999999996,85.410004,35.369999,90.790001,74.07,110.309998,201.929993,50.009997999999996,80.43,95.089996,16072.540038999998
85.089996,134.779999,84.360001,21.209999,122.779999,61.32,71.18,26.780001000000002,168.03999299999998,80.349998,177.309998,23.65,95.059998,57.169998,40.25,98.199997,132.149994,49.580002,37.349998,79.599998,31.889999,84.639999,35.279999,90.790001,74.519997,110.940002,203.520004,50.049999,80.68,94.269997,16072.799805
85.589996,134.720001,84.66999799999999,21.27,122.41999799999999,61.54,70.769997,26.83,168.220001,80.660004,178.970001,23.9,94.980003,57.48,40.189999,97.059998,133.5,49.830002,37.599998,79.33000200000001,31.879998999999998,84.279999,35.41,90.989998,74.360001,111.510002,203.990005,49.93,80.93,93.800003,16097.330078
85.800003,134.25,84.599998,21.25,122.440002,61.38,70.540001,26.66,168.940002,80.66999799999999,179.679993,23.84,94.660004,57.220001,40.189999,97.370003,133.509995,49.830002,38.130001,79.139999,31.73,84.220001,35.209998999999996,90.739998,74.480003,110.860001,203.46000700000002,49.619999,81.010002,93.480003,16086.410156
85.290001,134.16000400000001,84.25,21.09,122.339996,61.739996999999995,70.910004,26.66,169.720001,79.769997,177.479996,23.700001,94.279999,56.98,40.080002,96.510002,127.68,50.18,38.450001,79.089996,31.83,83.339996,34.799999,89.0,74.160004,110.309998,205.130005,49.259997999999996,81.110001,93.519997,16008.769531
84.610001,132.0,83.870003,21.26,122.519997,60.499999,69.900002,26.559998999999998,168.050003,78.709999,176.080002,23.549999,93.970001,56.860001000000004,40.349998,96.379997,126.599998,49.759997999999996,38.310001,79.129997,31.219998999999998,83.83000200000001,34.740002000000004,89.029999,73.730003,109.690002,201.75,49.599998,81.209999,94.389999,15914.620116999999
84.5,131.5,83.970001,21.25,121.769997,60.259999,69.970001,26.639999,168.699997,78.400002,175.740005,23.74,93.629997,57.189999,40.369999,95.709999,126.459999,49.310001,38.939999,78.82,31.27,83.349998,34.599998,88.610001,73.650002,108.940002,202.740005,49.369999,80.220001,94.66999799999999,15889.769531
84.540001,132.729996,84.410004,20.91,121.099998,60.11,70.230003,26.450001,165.559998,78.540001,176.080002,24.26,92.970001,55.82,39.830002,95.43,126.83000200000001,48.810001,38.0,78.949997,31.25,82.690002,34.25,87.91999799999999,72.75,109.050003,201.71000700000002,48.91,79.440002,94.129997,15821.509766
85.93,135.179993,85.5,21.280001000000002,122.290001,61.34,71.459999,26.940001000000002,167.21000700000002,79.839996,177.669998,24.82,94.440002,56.060001,40.459998999999996,96.800003,128.610001,49.389998999999996,38.360001000000004,79.860001,31.540001,84.519997,34.529999,89.010002,73.5,111.120003,201.869995,49.48,79.940002,95.650002,16020.200195
85.75,134.679993,86.089996,21.219998999999998,123.339996,61.389998,71.110001,27.190001000000002,167.669998,79.599998,177.46000700000002,24.93,94.440002,56.509997999999996,40.400002,95.720001,128.570007,49.560001,38.709998999999996,79.779999,31.58,84.779999,34.689999,88.449997,73.720001,111.18,201.58999599999999,49.57,79.949997,95.839996,16025.530272999998
85.290001,133.699997,86.41999799999999,21.209999,123.660004,61.44,71.57,27.139999,169.729996,78.610001,177.119995,24.82,94.139999,56.700001,39.849998,95.43,127.550003,49.43,38.110001000000004,79.220001,31.34,83.650002,34.400002,88.440002,74.050003,110.980003,199.429993,49.049999,79.08000200000001,95.709999,15973.129883000001
83.900002,132.559998,85.279999,20.879998999999998,122.099998,60.289997,70.519997,26.58,167.600006,79.0,175.199997,24.42,93.110001,56.07,40.130001,95.260002,126.769997,48.950001,37.610001000000004,76.839996,30.65,84.019997,33.950001,87.099998,72.139999,108.660004,205.66000400000001,48.490002000000004,79.089996,94.260002,15843.530272999998
83.300003,132.96000700000002,85.57,20.51,120.989998,59.95,69.629997,26.540001,168.330002,78.529999,173.369995,24.469998999999998,91.160004,56.310001,39.209998999999996,94.099998,126.58000200000001,48.32,37.220001,76.230003,30.25,82.300003,33.889998999999996,86.629997,71.010002,108.089996,203.440002,48.130001,78.5,95.360001,15739.429688
83.68,133.830002,86.050003,20.24,119.900002,60.239999,69.620003,26.84,168.389999,79.010002,172.800003,24.290001,91.349998,56.169998,39.23,94.440002,126.43,48.380001,36.689999,76.400002,30.25,82.370003,33.849998,86.489998,70.480003,107.349998,207.360001,47.84,78.08000200000001,95.309998,15755.360352000002
84.519997,134.720001,87.379997,20.68,120.220001,60.839999,70.510002,26.98,170.949997,79.099998,177.850006,24.450001,91.370003,56.419998,39.27,95.449997,127.660004,48.09,36.889998999999996,76.440002,30.25,81.690002,34.150002,87.050003,71.059998,108.529999,207.75,48.259997999999996,77.739998,97.220001,15884.570312
84.110001,135.880005,86.91999799999999,20.92,118.739998,61.18,70.660004,27.030001000000002,170.490005,78.620003,175.759995,24.66,90.660004,55.720001,39.099998,94.379997,131.389999,47.900002,36.52,76.760002,30.139999,80.910004,33.849998,86.57,70.730003,107.620003,213.25,47.560001,77.25,96.75,15875.259766
