AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
130.119995,80.599998,143.809998,86.230003,29.09,102.16999799999999,71.269995,111.16999799999999,27.530001000000002,208.28999299999998,113.160004,169.919998,32.73,100.089996,66.699997,40.869999,96.519997,160.16000400000001,60.389998999999996,46.849998,102.510002,34.41,78.559998,101.010002,118.349998,118.510002,68.949997,49.080002,74.889999,84.949997,18076.269531
129.360001,79.360001,141.190002,85.470001,28.610001,101.389999,69.68999699999999,110.300003,27.26,208.869995,111.459999,168.380005,32.310001,99.230003,66.33000200000001,40.59,96.309998,158.350006,59.470001,46.360001000000004,101.949997,34.240002000000004,78.150002,100.209999,116.650002,117.139999,68.209999,48.099998,74.150002,84.220001,17905.580078
128.649994,79.389999,140.729996,86.050003,28.58,101.589996,69.07,110.300003,27.290001,210.44999700000002,110.370003,167.399994,31.84,98.589996,67.41999799999999,40.099998,95.540001,157.080002,58.990002000000004,46.139998999999996,102.029999,34.09,77.43,99.309998,116.529999,117.0,68.370003,47.23,73.059998,84.279999,17849.460938
127.800003,78.809998,140.639999,86.150002,28.280001000000002,100.41999799999999,69.409997,109.290001,27.24,209.789993,109.93,165.33999599999999,31.299999,97.959999,66.889999,40.16,95.32,156.58999599999999,58.869999,45.73,101.440002,33.98,77.709999,97.760002,116.910004,116.18,67.68,47.439999,72.610001,84.849998,17766.550781
127.41999799999999,79.16999799999999,140.100006,86.730003,28.24,100.41999799999999,69.20999599999999,108.519997,27.33,209.020004,109.529999,165.679993,31.25,98.209999,67.18,40.200001,94.730003,156.979996,58.84,45.650002,101.349998,34.009997999999996,78.900002,97.800003,116.989998,116.300003,67.949997,47.34,72.470001,84.58000200000001,17764.039062
128.880005,80.190002,141.619995,88.480003,28.66,101.83000200000001,69.68999699999999,110.0,27.629998999999998,213.13000499999998,110.980003,168.919998,31.82,98.879997,68.260002,40.330002,95.300003,159.03999299999998,59.610001000000004,46.610001000000004,103.339996,34.310001,79.540001,99.18,118.550003,117.5,69.629997,47.470001,72.93,85.209999,18000.400391
128.58999599999999,80.300003,142.96000700000002,88.16999799999999,28.860001,101.120003,69.75999499999999,110.620003,27.51,213.940002,111.290001,168.779999,31.85,99.239998,68.519997,40.099998,95.589996,159.860001,58.91,46.439999,103.879997,34.459998999999996,79.410004,100.129997,119.32,118.32,69.639999,47.759997999999996,72.940002,85.089996,18039.369141
127.16999799999999,79.529999,142.800003,87.849998,28.540001,99.870003,69.120002,109.949997,27.389999,213.059998,110.599998,166.990005,31.32,98.349998,68.25,39.959998999999996,95.059998,158.03999299999998,57.869999,45.970001,103.779999,34.209998999999996,78.870003,99.470001,117.650002,117.599998,69.33000200000001,47.25,72.43,84.019997,17898.839844
126.91999799999999,79.25,142.28999299999998,87.129997,28.48,99.290001,69.049996,110.18,27.209999,211.75999500000003,110.010002,166.259995,31.389999,97.489998,67.989998,39.59,94.300003,155.869995,57.119999,45.48,103.349998,34.040001000000004,78.120003,98.790001,118.980003,114.610001,68.57,47.0,71.93,83.720001,17791.169922
127.599998,79.360001,142.33999599999999,86.589996,28.709999,100.040001,69.35,111.059998,27.219998999999998,213.559998,110.230003,166.83999599999999,31.639999,98.360001,68.370003,40.080002,94.629997,156.490005,57.709998999999996,45.830002,104.559998,34.040001000000004,79.099998,99.489998,121.550003,114.940002,69.010002,47.419998,72.349998,84.68,17904.480469
